Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2041,2.1927231964349343e-09,2.396781373884528e-07,1.3323193820108665e-08,0.19507297119641961,0.020858058036246834,25.018853488075624,-0.354076333792635,0.05645173392847335,0.045592202509759684,0.10204393641265351
2042,2.1368654849465827e-09,2.3717701008695904e-07,1.2046561013729368e-08,0.19367474651820146,0.020374433267129496,24.999687730230534,-0.3524474470349448,0.05643964203535629,0.045617099578159855,0.10205674163086471
2043,2.0614520083456584e-09,2.2394392821804588e-07,1.1439477558033368e-08,0.19427375458864762,0.02049530151580809,25.326011308692134,-0.3523394049634661,0.05587591939133543,0.04481514111992003,0.10069106050294176
2044,2.0723467363783813e-09,2.2731716922508138e-07,1.355285183682651e-08,0.19644418565917385,0.021696655665360914,25.342873238883314,-0.3523021718324168,0.056380352338501534,0.045809767008285485,0.10219011935511609
2045,1.9376772379521713e-09,2.2376198326649987e-07,1.1580387205021341e-08,0.1951226327538219,0.020227876009864854,25.195716532004273,-0.3518275168470753,0.054223146229873266,0.04432058546155617,0.09854373172549385
2046,2.1888413162932984e-09,2.402381655632379e-07,1.2308280106496642e-08,0.19400219586735953,0.0198242459492155,25.130066083746076,-0.3506819875150448,0.0550354657171822,0.045358632289116775,0.10039409808594195
2047,1.9436462221916284e-09,2.2392800125649682e-07,1.0681316216730312e-08,0.19401315891634316,0.019820608479193712,25.263479539474584,-0.3497585302539225,0.05274595679985807,0.042876694296604456,0.09562265109037009
2048,1.8543234380466067e-09,2.2597835046484412e-07,1.075485880107499e-08,0.19557526145938142,0.020004238979510584,25.458626326840925,-0.3483216296814124,0.05264004816847063,0.04405464499824372,0.09669469310785916
2049,2.0631248566162998e-09,2.4600196158193167e-07,1.1213840576676982e-08,0.19255911591704247,0.019249759662024673,25.312404520466888,-0.3473985300637647,0.05304090056523388,0.04441618187476357,0.09745708242552442
2050,2.0064543868488006e-09,2.278386056806177e-07,1.0684048396928732e-08,0.1924467553774616,0.019144286535564964,25.532270866065748,-0.3477949569235341,0.05182796966585567,0.04247682093849142,0.09430479062626927
2051,1.9641026309439725e-09,2.2845519408786784e-07,1.1108382727399748e-08,0.19415684072339803,0.019934221031037286,25.5495571534223,-0.346791161317968,0.052409223641645325,0.04337618487966797,0.0957854085410093
2052,2.330696645226487e-09,2.5287430194672057e-07,1.4554699492801402e-08,0.19568453089455742,0.02217027962692834,25.548282032509366,-0.3450619777638901,0.057132045696669354,0.0474930108988744,0.10462505660404135
2053,2.3678205744291147e-09,2.511521567165478e-07,1.437426894971159e-08,0.19641285853183502,0.02124550081440189,25.597619919067103,-0.3447453171555545,0.05840238406161332,0.04876269648567654,0.10716508057580737
2054,2.2338648636009436e-09,2.5142674718008357e-07,1.4037522778512685e-08,0.19575201330260902,0.020924560591663977,25.273037941929488,-0.34499829668396925,0.0576181667358624,0.047744228934784534,0.10536239566070571
2055,2.2209938721821482e-09,2.4180347323106223e-07,1.2838495248336626e-08,0.19578499476308933,0.02023116972220255,25.656136984320344,-0.34440548880797733,0.05647650864854779,0.04604848136257695,0.1025249899955724
2056,2.2766051192526934e-09,2.4909855858331817e-07,1.4190006065341945e-08,0.19553074589719555,0.021238773754923595,25.53122819274799,-0.34358645419205974,0.058366685619632624,0.04841225816563907,0.10677894376676637
2057,2.213428919843711e-09,2.536184896278289e-07,1.3452436841125182e-08,0.1953675563698231,0.020697967335444552,25.775630316296333,-0.3422936100552891,0.05747098946834154,0.047725290390482504,0.10519627985059982
2058,2.2637596708533555e-09,2.5301313285213144e-07,1.345900985594505e-08,0.19414613667135472,0.02016699374757847,25.580612655233537,-0.3418399582708094,0.057143018962149794,0.046986702585183095,0.10412972152601012
2059,2.2785046039235337e-09,2.491542675473059e-07,1.2651082647606403e-08,0.19457265532590087,0.02001652989904412,25.864805011209594,-0.3409360118643889,0.057165937427033776,0.046803420959693955,0.10396935839646787
2060,2.177847654343471e-09,2.4977066051112547e-07,1.2759255845795706e-08,0.19478046280594177,0.02007440306097044,25.496297699212935,-0.3393940140953739,0.05681977600781205,0.04605223915541723,0.10287201520074969
2061,2.1322596565842325e-09,2.4538401939141415e-07,1.1957150016640375e-08,0.19303172812031918,0.019222033420640456,25.59973576791437,-0.33858151375995577,0.05563604910823428,0.04439096970807779,0.10002701883475683
2062,2.174059302934493e-09,2.475713806058789e-07,1.2212880755477548e-08,0.19356612661519548,0.01939400877857194,25.85855114891274,-0.33807366677767997,0.05567416953315249,0.04470580669770522,0.10037997624692911
2063,2.37200431263223e-09,2.581354006385915e-07,1.3986392863359456e-08,0.19501141787218731,0.02062044678390654,26.407884346413056,-0.33726170908237146,0.058468951059032236,0.04715526606557088,0.1056242171232577
2064,2.1397842065094357e-09,2.486858464461226e-07,1.3395492289311778e-08,0.1948729374653848,0.020176636303720713,26.43772622389112,-0.33647283762518665,0.056885531544960455,0.045331964651496116,0.10221749619358206
2065,2.219094565263646e-09,2.5362232672903293e-07,1.2166996383456463e-08,0.19316967358303241,0.01920223351480875,26.30793519606375,-0.3358267121283316,0.05639168618327755,0.0458252035199575,0.10221688972093683
2066,2.067122189613001e-09,2.4142103605179786e-07,1.1390875981332328e-08,0.19549721577711854,0.019859763895551663,26.614286652180876,-0.33471522539970683,0.05597394225827331,0.04682974391537209,0.10280368618290432
2067,2.051733717813723e-09,2.4527366658378324e-07,1.1985840197283093e-08,0.19476443768790197,0.020090734614404294,26.18223968540157,-0.333818712640739,0.05555458905952788,0.04605855946417319,0.10161314849956753
2068,2.0790708544847746e-09,2.4147235497727445e-07,1.103515994023255e-08,0.19317502625109365,0.01885427426233335,26.507587341888634,-0.3335686059570136,0.0537137788499543,0.0438683507659156,0.09758212962494817
2069,2.0882264440821452e-09,2.4803651816882654e-07,1.2294377336519282e-08,0.19390748534466018,0.019790896673533214,26.504518509647408,-0.33304487122203,0.054175875814412515,0.04479758710543194,0.0989734629093349
2070,2.0455187348926746e-09,2.448797150330018e-07,1.1594758874301323e-08,0.19523345935405667,0.019377241716378734,26.569712926812443,-0.3312936976783763,0.05421746767852221,0.04485654369581223,0.09907401138196094
